Blog	need	less	than	think	com	media	needs	office	work	who	does	do	question	another	maybe	three	very	different	companies	company	being	e	b	where	story	along	get	app	today	read	me	know	most	popular	hard	find	now	rest	stuff	also	place	view	old	reports	change	between	web	see	re	looking	stay	same	top	before	search	something	over	recently	recent	too	hope	might	pick	left	right	better	support	name	account	home	down	project	small	link	ll	open	may	seen	twitter	other	already	so	much	back	were	done	reading	links	thanks	using	always	please	keep	coming	our	way	interesting	everyone	else	few	send	us	email	team	five	years	called	week	year	around	lot	probably	big	deal	kind	far	ve	ever	any	job	got	made	came	m	happy	because	every	day	best	pretty	world	well	into	let	just	say	post	isn	many	why	someone	saying	special	things	together	did	often	d	go	make	some	end	tell	anything	times	didn	matter	anyone	yet	after	months	would	never	working	don	case	ideas	everything	try	future	happens	hour	focus	real	great	even	ways	important	feel	while	easy	enough	here	them	during	possible	minutes	building	hours	fact	close	related	including	hand	life	example	am	wait	until	business	start	long	makes	take	care	means	early	morning	family	actually	off	through	trying	comes	co	good	night	next	doing	part	no	daily	own	want	call	doesn	having	give	space	thing	such	self	true	learned	believe	those	show	going	these	really	build	thinking	mean	course	perhaps	thought	put	making	without	smart	human	james	john	michael	idea	used	design	help	sure	nothing	which	later	problem	built	questions	number	little	gets	run	getting	had	instead	still	full	found	talking	piece	two	look	then	point	side	version	data	list	known	set	create	each	turn	update	person	once	high	feature	days	wrong	short	talk	should	shows	per	since	longer	page	experience	use	free	asked	said	must	happened	result	decided	online	community	based	members	network	helping	process	especially	ten	won	quite	again	information	yourself	write	she	her	google	second	security	state	art	system	sign	love	become	turned	almost	facebook	bit	both	hear	word	yesterday	group	he	him	went	says	ad	water	started	ask	couple	android	image	following	via	last	behind	text	immigration	former	friend	policy	america	trump	administration	president	could	young	white	only	york	women	bad	force	kids	country	monday	air	least	power	against	internet	june	cool	parents	friends	public	goes	sometimes	come	past	continue	th	writing	large	ago	its	wrote	readers	site	amazon	game	social	appeared	share	man	men	father	others	service	photos	looks	four	nbsp	heard	money	third	though	live	news	his	blog	technology	took	fun	living	results	several	simple	photo	seem	content	tools	play	within	users	youtube	fine	month	line	children	video	health	latest	stories	book	books	under	government	told	house	deep	war	age	k	rights	taking	include	available	article	away	key	percent	million	stop	watch	center	national	director	science	personal	april	announced	american	child	u	whole	filled	black	half	taken	music	seven	series	according	movie	tv	report	yes	finally	border	dark	fans	apple
The Official Google Blog	12	3	13	1	7	2	8	1	14	14	1	9	0	3	1	4	2	9	5	6	0	2	0	4	3	2	16	55	14	2	6	4	7	0	3	15	24	6	0	32	3	5	3	0	4	1	7	18	54	4	7	1	4	10	16	1	28	2	5	8	1	4	0	1	12	11	8	2	7	4	2	8	2	9	18	7	4	2	1	14	3	20	7	2	7	2	0	1	1	12	10	2	5	1	57	9	1	6	1	8	4	22	0	8	6	9	3	6	18	16	5	0	2	0	0	1	22	4	6	4	0	4	2	6	0	7	6	11	7	1	24	11	17	4	7	4	2	1	11	20	0	0	2	8	4	3	6	5	5	31	13	2	3	2	1	0	3	3	1	8	2	3	2	9	5	0	6	0	5	5	0	0	2	4	3	17	4	4	2	9	11	4	7	12	1	1	0	4	2	1	2	3	9	2	4	7	3	3	0	15	3	3	12	5	0	5	4	0	20	0	6	15	0	2	2	4	0	11	2	11	6	3	10	19	2	1	5	3	3	1	6	1	0	2	0	4	10	5	28	0	17	3	3	4	0	2	4	13	7	4	0	0	7	0	7	7	8	36	5	1	15	1	1	7	1	2	3	2	2	1	14	1	3	1	2	1	3	4	2	4	0	2	5	30	1	1	10	7	6	2	5	5	3	8	7	3	0	1	0	3	6	2	11	2	1	13	18	0	0	4	0	0	2	0	8	6	8	0	4	2	14	2	0	1	0	0	14	2	0	2	15	63	0	11	0	16	4	3	4	1	5	2	0	1	2	4	0	0	1	11	1	1	3	24	0	10	2	1	22	2	0	2	9	4	3	0	0	2	11	1	0	0	1	2	2	0	9	2	5	0	0	7	0	1	0	2	1	4	7	4	2	11	4	1	1	1	3	2	3	7	0	1	2	6	0	0	10	0	32	3	1	9	0	2	3	1	2	2	0	6	0	0	1	1	1	1	0	12	0	13	1	2	2	1	2	0	0	0	1	6	18	2	12	7	4	5	1	2	6	0	5	4	0	0	0	0	2	0	2	0	3	1	0	2	2	14	1	3	5	14	5	2	1	7	2	2	3	2	3	2	1	4	4	1	2	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0
Google Operating System	2	0	5	0	2	0	1	0	0	1	0	1	3	4	0	0	2	9	0	0	0	0	4	1	0	0	15	9	1	1	1	4	3	1	0	1	16	2	0	9	3	1	4	1	3	4	3	4	3	0	1	3	1	0	53	2	1	2	1	0	1	0	6	2	1	1	2	2	4	6	5	0	0	2	7	4	1	0	0	9	1	6	2	4	0	0	0	1	0	5	1	0	1	0	2	1	3	2	0	1	4	0	1	1	0	0	4	0	2	2	1	1	0	0	0	0	5	0	3	0	0	0	1	3	0	2	1	3	1	2	2	2	3	1	4	0	1	0	4	1	0	0	3	1	0	3	1	1	7	2	6	1	0	0	0	0	0	0	0	2	0	0	2	0	3	0	0	0	3	0	0	0	0	1	1	4	1	2	1	5	1	0	7	3	0	0	0	0	0	1	0	12	4	0	2	7	0	0	0	0	1	5	2	1	1	1	1	0	0	1	2	0	0	1	0	0	2	5	0	0	6	0	2	3	0	2	0	0	0	0	1	0	0	0	0	3	2	1	3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	1	0	12	1	0	0	1	0	1	1	0	0	2	0	5	2	4	0	0	0	3	3	3	0	3	1	7	0	1	0	4	5	0	0	0	4	11	0	0	0	0	1	18	1	2	4	10	0	7	1	0	0	1	0	3	1	0	1	1	0	3	1	0	0	0	1	0	2	1	0	0	0	0	108	0	2	0	0	5	1	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	2	1	0	9	8	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	4	0	2	0	0	3	2	1	0	1	0	6	3	0	11	0	0	0	1	2	1	0	2	1	0	0	2	9	0	0	2	2	2	5	4	1	3	13	0	1	1	0	3	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0
Creating Passionate Users	0	1	0	0	0	0	0	0	1	2	2	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	2	0	0	2	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Instapundit	5	0	3	1	0	7	2	2	0	1	4	0	0	0	0	2	0	1	0	0	1	0	1	0	1	1	2	0	4	0	3	3	2	0	0	2	11	0	0	4	2	0	2	0	5	0	0	0	6	0	0	0	0	0	0	0	1	0	0	1	0	0	0	4	4	0	2	0	0	3	5	0	2	0	1	5	2	0	0	0	2	1	4	0	1	0	0	0	0	0	2	2	0	0	4	0	2	2	0	0	0	1	0	0	2	5	1	0	1	0	1	0	0	0	0	0	2	0	0	2	0	2	1	4	2	1	0	0	4	0	0	8	2	0	4	0	0	0	0	8	0	0	0	2	0	1	0	8	0	2	0	2	0	2	1	0	0	2	2	10	0	1	3	1	0	1	0	0	0	5	0	0	1	0	0	2	0	0	0	2	0	0	3	0	0	0	2	0	0	2	0	1	0	0	0	0	0	2	0	0	0	4	2	1	0	2	2	0	1	0	0	1	0	0	0	1	1	0	2	0	6	0	2	1	0	2	0	0	4	2	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	2	0	2	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	1	1	0	1	0	0	0	0	2	0	0	2	0	0	5	0	0	4	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	4	0	1	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	2	5	2	0	2	0	1	0	0	0	0	0	2	0	0	0	0	2	1	0	1	1	11	0	1	0	0	3	0	1	3	4	1	2	1	0	0	3	0	9	0	0	0	2	0	1	4	0	2	0	0	1	1	0	2	0	1	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	4	6	4	0	3	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	2	2	0	0	0	2	5	0	0	2	3	5	2	0	0	2	0	0	0	0	2	0	0	3	1	0	0	2	0	2	0	0	2	1	0	5	0	1	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0
Jeremy Zawodny's blog	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	2	0	0	10	1	0	1	2	0	0	0	2	0	0	0	0	1	0	1	1	0	0	1	0	1	2	0	0	0	0	0	0	0	4	0	0	0	2	1	0	3	0	1	0	1	0	0	0	0	0	2	1	2	2	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Joi Ito's Web	0	1	1	0	0	4	0	0	2	1	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	6	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	1	0	0	4	0	1	2	1	0	1	1	1	0	0	1	0	0	0	0	0	2	3	0	2	1	0	0	0	5	0	0	0	0	1	0	0	0	2	1	3	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	3	1	0	0	0	1	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Mashable	6	0	5	1	0	0	1	0	2	19	2	6	2	4	0	0	4	2	2	0	6	6	3	4	1	0	8	7	2	31	2	4	4	0	0	0	12	0	0	24	1	0	4	2	0	1	3	21	6	1	0	4	1	4	0	1	12	0	2	2	0	1	1	0	5	1	2	0	3	2	3	0	0	0	4	0	3	2	12	3	2	6	2	5	8	0	2	0	2	0	1	0	0	4	3	2	0	1	0	0	2	3	3	0	0	1	1	6	9	2	2	0	1	0	0	1	9	0	3	1	2	3	1	3	0	2	2	4	8	1	1	2	9	0	12	0	2	1	3	3	0	1	0	8	1	0	0	1	0	2	8	2	1	1	1	3	0	0	1	6	1	0	0	0	3	1	0	3	0	2	1	0	3	3	0	2	1	1	0	2	0	0	7	4	2	0	0	0	3	1	1	0	2	0	3	0	0	0	2	2	0	4	1	4	0	1	0	0	1	1	5	2	0	4	1	4	4	2	0	0	4	1	2	3	5	1	0	1	0	1	1	0	0	1	2	3	10	2	6	3	4	0	0	5	0	1	2	1	2	1	0	5	0	3	3	0	0	7	3	0	6	1	0	1	3	0	1	1	1	0	5	0	0	0	1	1	0	4	5	4	1	0	3	1	2	0	0	1	3	0	2	1	0	3	4	1	1	0	1	0	2	0	1	1	0	0	0	4	2	5	1	1	2	1	3	1	1	2	0	0	1	1	0	2	2	1	0	0	1	5	6	4	4	5	1	5	0	0	2	0	3	2	1	0	3	2	0	0	1	8	1	0	1	0	1	1	0	1	8	2	3	0	6	2	3	10	2	1	8	0	12	4	2	3	1	1	5	0	0	3	0	1	3	3	0	1	0	0	3	2	0	7	1	0	0	0	2	1	1	0	0	1	0	8	1	0	0	15	5	5	0	1	0	0	1	2	4	1	1	1	0	2	0	1	0	1	0	12	0	2	3	1	0	0	3	0	0	0	0	2	2	0	4	0	0	1	3	13	13	1	0	1	2	1	2	4	1	1	0	0	0	0	0	1	0	2	1	0	0	1	3	3	2	0	0	0	0	3	0	0	2	4	6	9	0	14	2	3	6	2	6	6	11	11	3	1	3	16	2	2	0
MichelleMalkin.com	1	0	1	0	2	0	0	2	0	4	0	2	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	3	1	0	3	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	2	0	3	1	0	0	3	1	1	0	0	0	1	0	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	2	2	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	2	1	0	1	1	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
The Viral Garden	8	5	10	32	22	123	6	0	17	16	5	40	0	9	4	3	23	3	30	13	21	0	2	18	2	4	21	0	4	10	57	22	23	6	0	9	19	0	3	10	3	5	2	0	3	2	1	22	4	10	2	16	4	11	3	9	15	6	4	6	2	5	1	10	7	10	2	10	0	0	2	4	5	20	17	2	12	3	61	19	2	62	6	20	36	3	8	9	2	30	6	3	3	11	7	27	5	10	8	26	0	16	3	5	0	6	5	5	19	7	14	12	12	1	0	1	20	3	8	1	10	8	1	18	1	38	10	17	7	3	4	12	9	8	21	6	43	6	25	21	14	4	1	6	5	13	9	5	14	20	17	5	11	1	1	14	2	3	1	8	7	31	10	1	15	8	6	0	4	1	2	4	2	3	13	19	6	4	2	8	2	5	25	50	5	1	1	4	4	5	6	0	1	1	2	4	25	0	0	12	4	8	4	7	1	5	3	0	0	11	5	4	7	2	0	17	3	9	13	7	19	0	24	34	1	2	2	6	6	17	8	4	1	5	0	12	5	10	25	10	5	4	8	3	0	11	4	4	2	2	1	0	1	0	18	1	0	10	11	2	19	5	6	0	5	5	3	1	0	6	40	5	14	3	10	4	0	8	2	23	6	1	1	0	12	1	0	10	5	2	2	6	3	1	0	10	4	1	1	16	2	2	3	2	7	1	20	6	1	13	3	4	4	6	8	11	0	5	4	2	1	1	2	11	1	3	4	3	9	2	5	0	3	0	1	0	0	1	2	10	2	2	14	8	6	4	1	0	4	17	3	7	0	11	0	14	3	6	0	1	23	8	12	1	0	0	0	4	2	2	0	0	0	8	0	0	16	2	0	3	1	0	0	0	0	5	5	0	0	2	5	0	12	0	2	7	8	2	1	9	5	3	5	11	7	10	12	0	1	135	0	8	1	0	0	9	5	0	1	5	14	1	3	1	5	3	1	8	48	0	10	2	0	5	9	2	0	2	15	7	2	3	10	0	1	1	3	0	0	0	2	3	0	0	1	0	3	0	0	0	7	1	0	4	3	0	2	3	5	0	0	2	0	3	0	0	1	6	12	0	0	0	0	1	0	1	3	0	6	4	9	2	0	1	0	1	2	0	1	12	1
NewsBusters	2	0	0	2	0	19	0	0	0	10	2	3	0	4	0	0	5	2	0	0	8	0	1	2	3	2	1	0	2	1	0	1	2	1	1	0	2	2	0	6	3	3	2	0	1	1	0	0	2	0	0	0	2	1	0	1	8	2	2	0	0	0	0	2	5	0	0	1	0	0	4	0	1	0	0	0	0	0	1	3	0	1	0	2	9	1	1	0	0	1	0	0	1	0	1	2	0	0	0	2	0	0	0	1	0	6	2	5	4	0	0	1	2	0	1	1	0	0	3	1	3	1	0	4	1	2	3	5	0	0	1	0	5	0	4	1	0	0	3	4	0	3	1	1	0	1	1	4	1	2	7	1	0	0	3	2	0	1	3	8	0	7	0	0	1	0	0	0	0	2	0	0	1	2	0	2	2	1	1	4	1	2	2	2	7	0	0	0	1	1	0	0	2	0	0	0	3	0	0	0	1	4	2	1	2	0	0	9	2	0	0	4	1	2	3	5	2	1	0	2	8	4	3	0	4	1	0	0	1	1	0	0	3	0	0	2	11	1	0	1	0	0	0	3	0	2	1	1	1	0	3	5	1	2	0	1	0	2	2	2	6	4	1	0	1	0	1	0	2	0	6	1	0	0	1	0	0	4	0	6	3	0	0	0	1	1	1	0	0	1	0	2	1	1	0	1	1	0	2	5	0	0	3	1	2	0	1	0	4	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	5	0	2	0	5	1	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	4	0	2	17	7	1	3	0	0	0	0	2	0	0	0	1	5	0	0	12	5	0	10	2	37	11	12	2	3	7	3	3	2	3	0	2	4	12	0	2	0	8	1	7	0	4	0	0	0	1	0	1	0	2	0	2	0	8	0	0	0	0	0	1	1	0	1	0	6	0	0	0	0	1	19	0	0	2	1	1	7	17	0	0	3	0	0	0	2	0	0	0	3	0	2	0	0	2	0	2	0	10	1	1	1	0	1	0	3	1	1	4	0	3	1	2	2	0	0	0	2	0	0	0	0	0	2	2	2	5	0	0	0	1	2	5	2	0	2	2	1	0	0	0	2	2	3	2	7	1	2	11	0	4	0
PaulStamatiou.com - Technology, Design and Photography	2	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Power LinePower Line	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	2	0	2	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
