Channel,Creative Size,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
mogo marks wsj sx x4v,300x250,22,75,8,67
mogo marks xsl_ks20780 sx,300x100,1,0,0,0
/All Apps/Apple App Store/Games/Casino,160x600,121,0,0,0
/All Apps/Apple App Store/Newsstand/Regional News,970x90,1,0,0,0
APACTix Sitelist sx,728x90,4,11,0,11
Diablo Blacklist ,300x600,0,13,0,13
finn dallas native sx,300x250,196,779,72,707
mogo CBS Interactive sx,300x250,89,439,38,401
mogo marks elite kpi achievers sx,300x250,1440,3599,479,3120
mogo marks perf arts sx 11,336x280,0,1,0,1
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,320x100,60,125,28,97
DO NOT USE Tier 2* (CHANNEL),300x600,488,2381,167,2214
Android Top Selling Free Health and Fitness,300x250,7,2,1,1
Android Top Selling Free Social,300x600,450,54,52,2
mogo financial services kpi sx,160x600,429,1467,172,1295
mogo marks broadway sx,320x50,171,894,82,812
mogo marks native (sharethrough) unique can sx,728x90,1003,6443,321,6122
mogo marks natl elite cat-aff-im sx,300x250,1535,4126,556,3570
mogo marks perf arts platinum sx,320x50,193,968,95,873
ttd weather sx,970x250,62,112,10,102
mogo marks native (sharethrough) unique us sx,250x250,2,1,0,1
mogo marks pav kpi sx 2,970x250,737,1917,369,1548
mogo marks perf arts sx 6,336x280,0,1,0,1
sfoc pslx 2019 sx (Mar_2019),970x250,71,397,61,336
ttd real estate sx,300x250,33,284,13,271
mogo marks outbound kpi sx x1a,300x250,1576,3978,543,3435
ttd beauty sx,728x90,4,37,1,36
mogo marks coupon sx,300x600,11,33,8,25
mogo perf arts sx,300x600,57,166,34,132
ttd family parent sx,320x100,4,3,1,2
DO NOT USE Tier 1,250x250,2,6,0,6
mogo marks lal branding (All) silver sx,300x600,2652,15091,1011,14080
mogo universal rt+ob black sx,300x250,6,15,4,11
ttd sports sx,160x600,48,128,4,124
mogo marks branding comp rate platinum video sx,970x90,4,2,0,2
/All Apps/Google Play/Games/Arcade,160x600,1,1,1,0
Android Top Selling Free Weather,300x600,517,263,246,17
mogo marks branding comp rate silver video sx,250x250,1,5,0,5
mogo marks branding drhbx silver sx,250x250,3,9,0,9
mogo marks native medium reach tail aggregate sx,250x250,4,7,0,7
mogo mba tier 2 sx,728x90,244,1613,75,1538
pac motorsports sx,970x90,1,0,0,0
DO NOT USE Invite December Brand Safe List,970x250,912,1150,240,910
dso custom hx,728x90,1,63,0,63
mogo centro sx US (2014),320x50,4345,4875,1539,3336
mogo marks playbill 5 sx x9z,970x250,9,44,5,39
ttd entertainment sx,728x90,1157,5253,422,4831
/All Apps/Google Play/Sports,320x50,320,23,16,7
Mogo DBM premium video sx,300x50,44,1519,29,1490
ttd finance sx,970x90,1,2,0,2
DO NOT USE Tier 3* (CHANNEL),728x90,2235,12499,865,11634
mogo lydia peacecenter test,300x250,6585,18790,1890,16900
mogo marks lal (purchase) platinum sx,300x600,593,2103,184,1919
/All Apps/Apple App Store/Book,300x50,1,2,0,2
/All Apps/Apple App Store/Games/Trivia,728x90,14,1,0,1
/All Apps/Apple App Store/Reference,320x50,261,5,3,2
DO NOT USE Mobile - MoPub - Health,320x50,5,1,1,0
DO NOT USE fgu test public channel,970x90,3,0,0,0
mogo marks native standard reach (no) tail aggregate sx,300x600,2764,11897,955,10942
ttd kids sx,970x250,17,60,3,57
tz - Local Seattle sx,728x90,2,12,0,12
/All Apps/Apple App Store/Newsstand/News & Politics,728x90,97,5,1,4
dbm video sx,970x90,4,6,0,6
mogo marks perf arts sx 11,300x50,0,2,0,2
ttd female sx,728x90,303,2768,137,2631
/All Apps/Google Play/Communication,300x250,1073,497,452,45
Stratford KPI sx,300x250,2,112,2,110
mogo marks branding tier 2 sx xls37852,970x90,16,17,1,16
mogo marks perf arts sx 11,320x50,160,768,76,692
mogo marks playbill sx x3e,300x600,0,1,0,1
mogo marks san francisco sx,300x250,156,617,82,535
mogo sf local sx,320x50,626,765,256,509
ttd weather sx,300x50,4,68,4,64
mogo marks branding elite tier sx xls37852,300x250,1422,3544,473,3071
mogo marks hq100p sx,970x90,8,9,0,9
mogo marks native high reach tail aggregate sx,300x250,11618,38975,3423,35552
mogo marks perf arts gold sx,300x250,335,1656,159,1497
mogo marks nyt sx,970x250,411,958,175,783
mogo marks ttd obx kitchen premium sink sx,728x90,5862,25161,1791,23370
mogo marks video sx xsl44760 class c,300x250,9436,30331,2880,27451
/All Apps/Google Play/Education,300x50,1,0,0,0
/All Apps/Google Play/Media & Video,320x50,31,4,4,0
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,Unknown,575,35,0,35
mogo marks natl cat-aff-im sx,300x250,3821,10870,1267,9603
mogo marks perf arts platinum sx,300x600,27,85,20,65
mogo marks sacramento sx,160x600,0,1,0,1
mogo t1 brand sx,728x90,2305,6753,520,6233
mogo marks expedia sx,300x250,0,11,0,11
mogo marks native sx xsl1045 class b,300x600,395,1453,93,1360
mogo marks perf arts sx 6,320x50,175,919,83,836
mogo marks ttd obx kitchen premium sink sx,320x50,22889,33123,8985,24138
mogo marks xsl_800p sx,250x250,4,13,0,13
ttd education sx,970x250,78,79,6,73
Android Movers and Shakers,160x600,1,0,0,0
CST KPI List,320x50,1,1,1,0
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,300x600,4603,16343,1640,14703
DO NOT USE AppNexus - Collective Media,970x250,456,737,158,579
Mogo DBM basic video sx,300x600,68,190,14,176
mogo marks t1 brand sx trim,300x250,6175,17131,1875,15256
mogo marks xsl_800p sx,160x600,3403,16151,1079,15072
/All Apps/Google Play/Games/Sports,300x600,6,0,0,0
mogo biz-fi sx,970x250,644,1399,285,1114
mogo marks branding comp rate gold video sx,336x280,0,1,0,1
mogo marks broadway sx,728x90,90,396,30,366
mogo marks native (sharethrough) unique can sx,320x100,10,19,2,17
mogo marks perf arts platinum sx,728x90,63,342,25,317
mogo marks stratford (canada) sx,970x250,0,34,0,34
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,200x200,0,3,0,3
mogo marks bwwpb sx,970x250,24,130,52,78
mogo marks detroit sx,320x50,407,417,226,191
mogo marks trip advisor sx,300x250,9,328,6,322
DO NOT USE Invite December Brand Safe List,250x250,2,11,0,11
mogo marks branding max reach sx,120x600,1,0,0,0
mogo marks native sx xsl1045 class b,728x90,1095,3069,131,2938
mogo marks native sx xsl1045 class c,468x60,0,1,0,1
mogo marks playbill sx x3e,728x90,16,102,10,92
/All Apps/Apple App Store/Games/Board,300x50,14,0,0,0
/All Apps/Google Play,160x600,10,3,2,1
DO NOT USE Tier 2,336x280,1,7,0,7
provident shortlist ,970x250,1327,2980,498,2482
sfoc kpi sx (acquisition 2019),160x600,0,35,0,35
ttd auto sx,300x600,28,94,7,87
ttd gaming sx,970x90,1,0,0,0
/All Apps/Google Play/Tools,300x600,59,16,16,0
Mogo DBM select video sx,320x50,229,400,56,344
Portland Center Stage KPI sx,320x50,5,10,0,10
mogo marks xsl66781 sx,728x90,553,3662,264,3398
/All Apps/Apple App Store,300x600,4407,618,573,45
/All Apps/Apple App Store/Newsstand/News & Politics,970x90,1,0,0,0
/All Apps/Google Play/Games/Card,300x600,50,8,7,1
/All Apps/Google Play/Games/Trivia,300x250,7,0,0,0
APACTix Sitelist sx,160x600,1,1,0,1
Pac Private Events/Wedding sx,200x200,0,1,0,1
mogo marks branding tier 2 sx xls37852,728x90,2908,20070,1063,19007
mogo mba tier 1 sx,300x600,85,650,33,617
/All Apps/Google Play/Productivity,728x90,6,0,0,0
DO NOT USE Tier 2* (CHANNEL),250x250,0,5,0,5
DO NOT USE Tier 3* (CHANNEL),970x90,15,11,0,11
mogo marks lal branding (All) gold sx,320x50,7860,13986,4390,9596
mogo marks native (sharethrough) unique can sx,160x600,113,341,24,317
ttd gaming sx,300x600,311,474,132,342
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,300x50,270,8222,190,8032
Performing Arts Fort Worth Perf Arts 5 black sx,728x90,0,2,0,2
mogo marks hq100p sx,728x90,2590,10041,611,9430
sfoc 2018 marks stratford premium sx,320x50,639,3362,394,2968
mogo marks branding increased reach sx,300x250,18668,67724,5546,62178
mogo marks video branding medium reach tail aggregate sx,300x100,1,0,0,0
sfoc rtx kpi sx,300x250,61,631,56,575
ttd family parent sx,320x50,277,774,96,678
ttd spanish sx,970x250,2,0,0,0
Android Top Selling Free Weather,300x250,91,33,27,6
BBB perf arts 5 black sx,160x600,0,6,0,6
DO NOT USE Mobile - MoPub - Computers & Electronics/Software/Multimedia Software/Audio & Music Software,320x50,60,0,0,0
mogo marks branding tier 1 sx xls37852,300x50,139,4658,112,4546
mogo marks email sx,300x600,53,153,14,139
mogo marks native (sharethrough) unique us sx,970x250,200,330,42,288
mogo marks perf arts silver sx,160x600,78,620,31,589
mogo marks playbill 5 sx x9z,320x50,149,694,73,621
mogo marks video branding extended reach tail aggregate sx,250x250,5,8,0,8
sfoc stratford hqcat sx,970x250,8,103,4,99
ttd education sx,300x50,26,916,27,889
Android Top Selling Free Game,336x280,2,0,0,0
Greg's GG KPI + relevant sites list,728x90,6,15,2,13
/All Apps/Apple App Store/Medical,300x50,1,0,0,0
DO NOT USE Tier 2,300x600,488,2381,167,2214
Greg's GG KPI + relevant sites list,320x50,2,17,1,16
mogo marks lal branding (All) silver sx,300x250,7003,34691,2402,32289
mogo perf arts sx,300x250,1438,3025,489,2536
Duxiana- Bad Site List(Allan) ,970x250,32,0,0,0
mogo marks coupon sx,300x250,7,86,6,80
/All Apps/Apple App Store/Games/Adventure,320x50,5,0,0,0
/All Apps/Google Play/Games/Action,300x600,170,96,86,10
mogo marks branding comp rate gold video sx,300x600,1960,4909,690,4219
sfoc hqcat black hx,300x250,9,167,13,154
/All Apps/Apple App Store/Travel,300x250,88,1,1,0
Android Top Selling Free Entertainment,300x250,52,11,9,2
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,300x600,3644,16686,1212,15474
mogo marks branding drhbx gold sx,728x90,902,5535,331,5204
mogo marks seattle sx,320x50,32,45,4,41
mogo marks sports sx,970x250,70,153,20,133
/All Apps/Google Play/Games/Puzzle,300x250,20,4,4,0
Android Top Selling Free Tools,300x600,89,27,25,2
DO NOT USE Tier 1* (CHANNEL),728x90,4726,15686,1192,14494
/All Apps/Google Play/Games/Simulation,320x50,17,0,0,0
mogo marks branding drhbx platinum sx,300x250,1456,3479,461,3018
mogo marks nyc sx,336x280,0,1,0,1
mogo marks video branding extended reach tail aggregate sx,300x250,11841,37573,3482,34091
pac esports sx,300x50,10,335,15,320
/All Apps/Apple App Store/Games/Sports,320x50,7,0,0,0
mogo lydia peacecenter test,300x600,1353,4390,516,3874
mogo marks outbound kpi sx x1a,300x50,0,20,0,20
/All Apps/Apple App Store/Games/Simulation,300x600,2,0,0,0
Android Top Selling Free Sports,300x50,2,0,0,0
DO NOT USE Tier 3* (CHANNEL),300x50,82,2820,87,2733
University of Colorado--Shortlist- HighCTR/ high CPA ,300x600,0,3,0,3
mogo centro sx US (2014),300x50,13,290,20,270
mogo marks wine sx,320x100,1,0,0,0
mogo marks xsl_74205 (2p dims) sx ,250x250,0,2,0,2
/All Apps/Apple App Store/Music,728x90,25,0,0,0
/All Apps/Google Play/Entertainment,300x250,15,0,0,0
Mogo dating sx,160x600,0,1,0,1
finn dallas native sx,970x250,15,54,10,44
mogo marks elite kpi achievers sx,320x50,376,948,129,819
mogo sports sx,300x250,474,1436,109,1327
ttd health sx,300x600,54,330,10,320
/All Apps/Apple App Store/Games/Puzzle,300x600,678,123,109,14
DCPA rt black sx,728x90,4,23,1,22
mogo marks video sx xsl44760 class b,728x90,1217,2060,237,1823
/All Apps/Apple App Store/Entertainment,300x600,3841,583,545,38
/All Apps/Google Play/Games/Role Playing,300x250,2,0,0,0
Android Top Selling Free Education,300x600,7,7,5,2
Arizona Theatre Company - Site List,300x600,1,2,0,2
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,300x100,1,0,0,0
Arvada local sx,300x600,0,10,0,10
mogo marks branding tier 1 sx xls37852,300x250,13702,47284,4205,43079
mogo marks lal branding (All) gold sx,160x600,662,4176,212,3964
/All Apps/Apple App Store/Weather,300x250,12,0,0,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,336x280,29,43,4,39
mogo marks lal (purchase) gold sx,970x250,781,2015,345,1670
DO NOT USE AppNexus - Collective Media,970x90,3,2,0,2
DO NOT USE Tier 1,320x50,14384,18622,6107,12515
Diablo DVC Shortlist (Advertiser Level),300x600,26,3668,76,3592
mogo marks branding max reach sx,320x100,158,336,61,275
mogo marks perf arts branding high reach sx,728x90,110,761,38,723
mogo marks sacramento sx,728x90,31,226,14,212
mogo marks xsl_800p sx,300x600,4507,19575,1605,17970
ttd health wellness sx,320x100,1,3,0,3
mogo marks pav kpi sx,160x600,65,486,25,461
mogo marks toronto sx,728x90,66,810,22,788
mogo marks video branding max reach tail aggregate sx,300x600,4969,17514,1763,15751
/All Apps/Google Play,300x600,1552,310,286,24
/All Apps/Google Play/Games/Arcade,336x280,1,4,4,0
/All Apps/Google Play/Lifestyle,300x50,1,0,0,0
sfoc kpi sx (acquisition 2019),300x600,85,777,97,680
/All Apps/Google Play/Photography,300x600,12,1,1,0
DO NOT USE Mobile - MoPub - Arts & Entertainment,728x90,31,1,1,0
BBB perf arts 5 black sx,300x250,0,6,0,6
DO NOT USE Mobile - MoPub - Arts & Entertainment,320x50,82,1,1,0
DO NOT USE fgu test public channel,320x50,29,43,3,40
mogo marks perf arts silver sx,300x250,386,1877,176,1701
/All Apps/Apple App Store/Games/Racing,320x50,1,0,0,0
dbm video sx,728x90,2015,11543,623,10920
mogo marks lal branding (All) gold sx,300x50,88,3569,63,3506
mogo marks native sx xsl1045 class c,728x90,1898,7636,422,7214
mogo marks natl cat-aff-im sx 2,336x280,0,2,0,2
Chicago T1 sites,160x600,4,7,2,5
DO NOT USE Tier 3* (CHANNEL) (2),728x90,284,2047,103,1944
ttd family parent sx,300x50,1,106,0,106
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,300x250,10784,31056,2877,28179
DCPA display local sx,320x50,9,35,0,35
mogo marks branding comp rate gold video sx,160x600,1260,3889,287,3602
mogo marks pav kpi sx,970x90,0,2,0,2
mogo marks perf arts sx 5 epx1,336x280,0,1,0,1
ttd finance sx,728x90,332,2012,151,1861
/All Apps/Apple App Store/Games,728x90,2813,255,240,15
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,728x90,7122,33479,2438,31041
DO NOT USE Mobile - MoPub - Games/Computer & Video Games/Music & Dance Games,300x250,81,3,3,0
mogo marks coupon sx,160x600,1,5,0,5
mogo marks sports sx,300x600,46,62,4,58
/All Apps/Google Play/Games/Word,320x50,192,51,31,20
mogo marks branding tier 2 sx xls37852,300x50,102,3930,81,3849
mogo marks pav kpi hx,320x100,12,17,7,10
/All Apps/Google Play/Games/Word,728x90,32,3,3,0
DO NOT USE Tier 2,160x600,203,876,48,828
DO NOT USE Tier 3* (CHANNEL) (2),320x50,757,995,234,761
Mogo DBM select video sx,300x50,4,84,1,83
RCU Blacklist Sites (CPA),728x90,0,2,0,2
mogo marks bw-theatre sx,300x250,7,23,2,21
/All Apps/Apple App Store/Shopping,300x250,1,0,0,0
/All Apps/Google Play/Health & Fitness,320x50,20,3,2,1
BBB perf arts 5 black sx,300x600,1,20,0,20
mogo marks perf arts sx 2,320x100,1,4,0,4
/All Apps/Google Play/Productivity,300x50,6,3,0,3
dbm video sx,320x50,7258,10496,4270,6226
mogo marks hq100p sx,300x50,59,1354,63,1291
mogo marks native sx xsl1045 class c,320x50,7097,9974,2262,7712
mogo marks perf arts silver sx,300x600,34,140,38,102
mogo perf arts sx,160x600,64,515,26,489
ttd finance sx,320x50,464,629,145,484
DO NOT USE Tier 1* (CHANNEL),970x250,1541,2847,503,2344
/All Apps/Google Play/Business,728x90,1,0,0,0
at iab aff-im black sx,300x250,5,10,0,10
kid safe sx,300x250,3751,11601,1076,10525
maryland-dc sx,728x90,7,9,4,5
mogo marks lal branding (All) gold sx,336x280,3,23,1,22
mogo marks natl cat-aff-im sx 3,300x50,5,93,2,91
mogo marks video branding medium reach tail aggregate sx,300x250,14700,47834,4266,43568
ttd music sx,300x250,130,504,42,462
/All Apps/Apple App Store/Games/Board,160x600,11,2,1,1
/All Apps/Apple App Store/Lifestyle,300x250,133,3,2,1
DO NOT USE Tier 1,300x50,98,1960,62,1898
Triad Stage Local sx,300x250,1,0,0,0
mogo marks agg sx xsl37589,300x250,18719,69200,5611,63589
mogo marks branding comp rate gold video sx,970x90,4,2,0,2
mogo marks branding drhbx gold sx,970x250,680,1586,313,1273
/All Apps/Apple App Store/Newsstand/Regional News,728x90,97,5,1,4
5a kpi sx,300x600,0,4,0,4
Duxiana - Underperformance Blacklist,300x250,100,3,2,1
mogo marks disney sx,300x600,0,10,0,10
mogo marks video sx xsl44760 class a,300x250,2148,5067,555,4512
/All Apps/Apple App Store/Games/Card,300x250,101,3,3,0
mogo marks natl cat-aff-im sx 2,300x250,3525,9580,1152,8428
mogo marks perf arts silver sx,970x250,47,182,61,121
sfoc pslx 2018 sx (Jun_2018),320x50,1018,4577,599,3978
Android Movers and Shakers,320x100,1,0,0,0
mogo marks pav kpi hx,300x600,609,2965,310,2655
/All Apps/Apple App Store/Newsstand,300x600,63,1,0,1
Android Top Selling Free Sports,300x250,17,1,1,0
DO NOT USE Microsoft Bin (001),728x90,737,160,15,145
DO NOT USE Tier 3 (2),320x100,4,14,3,11
mogo black sx,300x600,108,363,43,320
mogo centro sx US (2014),300x250,1209,3328,390,2938
mogo marks los angeles sx,160x600,6,11,5,6
mogo marks pav kpi sx 3,970x250,427,1062,180,882
sfoc marks kpi sx (062018),160x600,0,1,0,1
ttd education sx,250x250,0,1,0,1
ttd travel sx,970x250,106,197,37,160
/All Apps/Google Play/Weather,300x50,6,0,0,0
mogo marks branding comp rate silver video sx,970x90,4,3,0,3
mogo marks branding drhbx silver sx,970x90,16,19,1,18
mogo marks kpi mdx sx xls9297,728x90,343,2598,139,2459
DO NOT USE Rubicon,300x50,0,11,0,11
co top 41 converting,728x90,1,3,0,3
mogo marks dallas sx,300x600,20,53,12,41
mogo marks native medium reach tail aggregate sx,970x90,14,19,0,19
mogo marks pav kpi sx,300x50,2,18,2,16
ttd kids sx,300x50,11,496,7,489
/All Apps/Google Play/Sports,300x250,20,1,1,0
Provident High CTR List ,300x600,10,2,0,2
kid safe sx,970x90,5,0,0,0
mogo marks native (sharethrough) unique can sx,336x280,0,2,0,2
mogo marks nyc sx,160x600,51,372,22,350
mogo marks wedding sx,300x600,2,54,7,47
ttd news sx,320x50,10514,10853,5277,5576
tz - Local Seattle sx,300x250,13,22,2,20
/All Apps/Google Play/Games/Racing,320x50,21,3,2,1
/All Apps/Google Play/Media & Video,728x90,1,0,0,0
mogo marks branding max reach sx,300x100,1,0,0,0
mogo marks perf arts sx 11,728x90,36,159,14,145
mogo sf local sx,728x90,66,640,17,623
pac esports sx,160x600,21,103,6,97
/All Apps/Google Play/Games/Racing,728x90,8,0,0,0
CST KPI List,300x600,6,5,3,2
mogo marks natl cat-aff-im sx 3,160x600,95,665,34,631
mogo marks perf arts sx 5 rx1,300x50,0,10,0,10
mogo marks perf arts sx 6,728x90,90,403,29,374
mogo sports sx,970x250,72,169,20,149
/All Apps/Google Play/Entertainment,728x90,6,1,1,0
Chicago T1 sites,320x50,34,30,19,11
Mogo DBM premium video sx,320x50,7029,10096,4214,5882
Mogo DBM premium video sx,728x90,1932,10662,589,10073
Pac Fox Atlanta EXCLUSION List,250x250,1,0,0,0
mogo marks lal branding (All) platinum sx,250x250,0,1,0,1
mogo marks pav kpi sx 2,300x50,10,180,7,173
mogo marks xsl_ks0001 sx,970x250,1929,3490,660,2830
/All Apps/Apple App Store/Book,320x50,173,1,0,1
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,468x60,0,3,0,3
mogo marks classical music sx,320x50,7,29,3,26
mogo marks lal branding (All) gold sx,970x90,14,10,0,10
ttd food sx,200x200,0,1,0,1
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,300x50,325,9290,239,9051
DO NOT USE Invite December Brand Safe List,336x280,2,15,0,15
mogo marks branding tier 1 sx xls37852,970x250,1889,3445,652,2793
mogo marks detroit sx,300x600,20,64,3,61
mogo marks native sx xsl1045 class b,300x250,2305,6578,585,5993
mogo universal rt+ob black sx,160x600,4,8,2,6
provident shortlist ,300x50,86,2294,85,2209
sfoc marks lal custom sx,300x600,1,1,1,0
ttd education sx,320x100,21,21,11,10
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,Unknown,575,35,0,35
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,468x60,0,4,0,4
Diablo DVC Shortlist (Advertiser Level),160x600,18,4122,34,4088
mogo marks expedia sx,728x90,2,51,1,50
mogo marks lal (purchase) gold sx,970x90,11,11,0,11
mogo marks lal branding (All) silver sx,336x280,5,26,1,25
mogo perf arts sx,336x280,0,1,0,1
mogo marks branding elite tier sx xls37852,728x90,241,1372,82,1290
mogo marks kpi mdx sx xls9297,300x50,4,138,4,134
mogo marks native high reach tail aggregate sx,728x90,5236,28073,1856,26217
mogo marks video sx xsl44760 class c,728x90,3145,17724,1042,16682
Performing Arts Fort Worth Top sx,300x600,6,7,1,6
mogo marks native (sharethrough) unique can sx,970x250,199,328,40,288
mogo marks san francisco sx,728x90,60,565,26,539
sfjazz travel sx,728x90,4,40,2,38
Stratford KPI sx,728x90,1,25,1,24
mogo marks native sx xsl1045 class b,320x50,2073,3491,654,2837
mogo marks playbill sx x3e,320x50,149,694,73,621
mogo marks t1 brand sx trim,300x600,1839,6050,634,5416
mogo marks trip advisor sx,300x600,6,53,0,53
mogo marks video sx xsl44760 class b,300x250,4646,12404,1332,11072
ttd news sx,300x50,34,523,25,498
Stratford Black RT SX,320x50,1,5,1,4
mogo marks high intenders sx,320x50,297,1368,130,1238
mogo marks kpi achievers sx,320x100,1,4,0,4
mogo marks lal (purchase) gold sx,250x250,0,2,0,2
